phone,label
+1 800 123 4567,0
+44 20 7946 0958,0
+91 44 2252 0000,0
+61 2 9374 4000,0
+49 30 1234 5678,0
+1-855-555-1234,0
+1 (212) 555-0198,0
+91-80-4110-1234,0
+1 888 555 0123,0
+1 877 555 0132,0
+91 44 2252 3456,0
+1-800-234-5678,0
+1 844 123 4567,0
+1 866 555 0156,0
+44 161 496 0000,0
+1 888 555 0147,0
+1 833 555 0160,0
+91 22 2757 0000,0
+1 911 123 4567,1
+1 900 123 4567,1
+91 99999 99999,1
+1 800 000 0000,1
+1 999 999 9999,1
+1 666 666 6666,1
+44 7700 900123,1
+1 123 456 7890,1
+1 999 123 4567,1
+1 888 123 4567,1
+91 70000 00000,1
+91 1800 123 456,1
+1 191 123 4567,1
+1 1900 123 456,1
+1 808 555 0199,1
+1 000 000 0000,1
+44 0845 123 1234,1
+1 233 233 2333,1
+1 121 212 1212,1
+1 101 101 1010,1
+1 177 777 7777,1
+1 950 123 4567,1
+1 805 123 4567,1
+1 999 000 0000,1
+44 7700 123456,1
+91 12345 67890,1
+1 888 000 0000,1
+1 123 000 0000,1
+1 800 999 9999,1
+1 212 555 0188,0
+44 20 7946 0957,0
+1 650 253 0000,0
+91 44 2252 0001,0
+61 3 7010 1234,0
+49 89 636 48018,0
+1 415 555 2671,0
+91 22 2778 1234,0
+44 20 7031 3000,0
+1 212 555 0179,0
